Item,Link,Price,Quantity,Status,Notes
Raphidocelis subcapitata,https://www.arofish.us/pricelist.html,$50,1.5 L,arrived,
Basler camera,https://www.baslerweb.com/en/products/cameras/area-scan-cameras/ace/aca2040-90umnir/,"$3,701.04",2,arrived,
Kowa lens,https://www.rmaelectronics.com/kowa-lm50hc-1-50mm-f1-4-manual-iris-c-mount-lens-2-megapixel-rated/,$786,2,arrived,
RO DI water,https://www.amazon.com/Ecoxall-Deionized-Water-Gallon-jug/dp/B06ZZ75FGT/ref=sr_1_30_sspa?keywords=Gallon+Reverse+Osmosis+RO+DI+Water&qid=1549582544&s=Industrial+%26+Scientific&sr=1-30-spons&psc=1,$100,4 gallons,arrived,
UV sterilizer pump,https://www.amazon.com/SunSun-JUP-01-Sterilizer-Submersible-Filter/dp/B008ADUVWQ,$33.27,,ordered,
air bubbling pump,https://www.amazon.com/Tetra-Whisper-Easy-Aquariums-Non-UL/dp/B0009YJ4N6,$7,1,arrived,
carboy,https://www.uline.com/Product/Detail/S-12768/Jugs/Carboy-5-Gallon?pricode=WA9237&gadtype=pla&id=S-12768&gclid=CjwKCAiAy-_iBRAaEiwAYhSlAyqq0o6_eZhc85ZJaEbO4hOYaPktI5hAC1bsmn-Ns4gQUX27T98sChoCM6wQAvD_BwE&gclsrc=aw.ds,$22,1,arrived,
ethanol (for cleaning glassware),hardware store,,2L,arrived,
ethanol (reagent grade),,,,,
methyl farnesoate,http://www.echelon-inc.com/index.php?module=Products&func=detail&id=155,$92,10 mg,ordered,
pipette tips,https://www.fishersci.com/shop/products/fisherbrand-sureone-aerosol-barrier-pipette-tips-14/p-161515,"$622.50 for big ones, $582.00 for little ones",1,arrived,
pipette,https://www.fishersci.com/shop/products/f1-cliptip-variable-volume-single-channel-pipettes-8/p-6838045,$391,1-3,arrived,
gloves,https://www.uline.com/BL_973/Uline-Industrial-Nitrile-Gloves?keywords=Gloves+Nitrile,$90.00,10,arrived,
kimwipes,https://www.fishersci.com/shop/products/kimberly-clark-kimtech-science-kimwipes-delicate-task-wipers-7/p-211240,$9.60,10 pk,,
